"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-01","0.00",,"65","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-02","0.00",,"63","51"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-03","0.00",,"68","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-04","0.00",,"70","55"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-05","0.01",,"61","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-06","0.00",,"62","55"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-07","0.00",,"62","56"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-08","0.03",,"60","56"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-09","0.02",,"61","56"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-10","0.57",,"63","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-11","0.77",,"56","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-12","0.00",,"58","50"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-13","0.02",,"58","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-14","0.00",,"65","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-15","0.00",,"58","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-16","0.01",,"63","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-17","0.63",,"57","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-18","0.46",,"56","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-19","0.00",,"58","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-20","0.48",,"56","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-21","0.05",,"59","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-22","0.44",,"56","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-23","0.28",,"57","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-24","1.28",,"59","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-25","0.03",,"59","56"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-26","0.15",,"65","56"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-27","0.00",,"64","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-28","1.39",,"60","57"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-29","0.06",,"60","58"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-30","0.06",,"61","58"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2022-07-31","0.30",,"59","56"
