"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-01","0.01",,"44","40"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-02","0.07",,"44","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-03","0.29",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-04","0.25",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-05","0.57",,"45","40"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-06","0.24",,"44","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-07","0.07",,"48","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-08","0.32",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-09","0.00",,"46","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-10","0.76",,"46","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-11","0.37",,"44","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-12","0.46",,"44","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-13","0.89",,"39","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-14","0.53",,"47","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-15","0.79",,"48","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-16","0.31",,"47","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-17","0.46",,"46","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-18","1.50",,"48","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-19","0.29",,"42","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-20","0.02",,"38","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-21","0.01",,"41","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-22","0.01",,"40","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-23","0.29",,"38","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-24","0.01",,"39","30"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-25","0.00",,"37","28"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-26","0.00",,"36","24"
